,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
31418DKJ0,34.0,3.061,140.0,2.5,UMBS,565697759.2,2035-01-01,174.0
31418DKC5,34.0,3.759,201.0,3.0,UMBS,82839855.45,2040-01-01,235.0
31418DJT0,35.0,4.844,321.0,4.0,UMBS,116954832.7,2049-12-01,356.0
31418DJS2,35.0,4.408,320.0,3.5,UMBS,299295645.9,2049-12-01,355.0
31418DJR4,35.0,3.838,319.0,3.0,UMBS,1943716321.0,2049-12-01,354.0
31418DJQ6,35.0,3.419,318.0,2.5,UMBS,928702363.7,2049-12-01,353.0
31418DJN3,35.0,3.687,200.0,3.0,UMBS,84144061.86,2039-12-01,235.0
31418DJJ2,35.0,3.075,139.0,2.5,UMBS,471315815.1,2034-12-01,174.0
31418DHM7,36.0,4.392,318.0,3.5,UMBS,208080696.9,2049-11-01,354.0
31418DHL9,36.0,3.882,318.0,3.0,UMBS,741204529.8,2049-11-01,354.0
31418DHK1,36.0,3.483,317.0,2.5,UMBS,1315006516.0,2049-11-01,353.0
31418DHH8,36.0,3.721,198.0,3.0,UMBS,68811499.77,2039-11-01,234.0
31418DHD7,36.0,3.141,137.0,2.5,UMBS,321221099.8,2034-11-01,173.0
31418DGN6,38.0,4.882,318.0,4.0,UMBS,107371487.1,2049-10-01,356.0
31418DGM8,37.0,4.399,317.0,3.5,UMBS,247139201.4,2049-10-01,354.0
31418DGL0,37.0,3.927,316.0,3.0,UMBS,1286256719.0,2049-10-01,353.0
31418DGK2,37.0,3.517,315.0,2.5,UMBS,508159016.7,2049-10-01,352.0
31418DGF3,37.0,3.153,136.0,2.5,UMBS,270122619.3,2034-10-01,173.0
31418DFR8,38.0,4.396,317.0,3.5,UMBS,751299722.3,2049-09-01,355.0
31418DFQ0,38.0,3.94,315.0,3.0,UMBS,1316021777.0,2049-09-01,353.0
31418DFM9,38.0,3.795,196.0,3.0,UMBS,75893344.33,2039-09-01,234.0
31418DFF4,38.0,3.528,316.0,2.5,UMBS,341399791.7,2049-09-01,354.0
31418DFE7,38.0,3.204,134.0,2.5,UMBS,193305942.2,2034-09-01,172.0
31418DET5,39.0,4.396,314.0,3.5,UMBS,769775989.4,2049-08-01,353.0
31418DES7,39.0,3.99,314.0,3.0,UMBS,462831512.5,2049-08-01,353.0
31418DEL2,39.0,3.672,133.0,3.0,UMBS,76935162.77,2034-08-01,172.0
31418DEK4,39.0,3.229,134.0,2.5,UMBS,76543019.02,2034-08-01,173.0
31418DCZ3,41.0,4.933,312.0,4.0,UMBS,79078968.26,2049-06-01,353.0
31418DCY6,41.0,4.484,312.0,3.5,UMBS,283378336.5,2049-06-01,353.0
31418DCX8,41.0,4.018,312.0,3.0,UMBS,102995622.1,2049-06-01,353.0
31418DC67,40.0,4.405,313.0,3.5,UMBS,482751497.3,2049-07-01,353.0
31418DC59,40.0,3.994,312.0,3.0,UMBS,314297228.9,2049-07-01,352.0
31418DB92,42.0,4.546,311.0,3.5,UMBS,114170360.7,2049-05-01,353.0
31418DAS1,45.0,5.359,309.0,4.5,UMBS,149760383.4,2049-03-01,354.0
31418DAR3,44.0,4.923,309.0,4.0,UMBS,130831864.2,2049-03-01,353.0
31418DAQ5,44.0,4.564,307.0,3.5,UMBS,83428162.24,2049-03-01,351.0
31418D7K2,11.0,2.472,166.0,2.0,UMBS,874172307.8,2036-12-01,177.0
